Start(s),Pitch(Hz),Probability[0-1.0],Source
16.04499,265.71756,0.99484,TARSOS_YIN
16.06821,264.02142,0.95992,TARSOS_YIN
16.09143,269.50528,0.94661,TARSOS_YIN
16.20753,292.75403,0.95006,TARSOS_YIN
16.23075,285.25497,0.99091,TARSOS_YIN
16.25397,286.31729,0.9877,TARSOS_YIN
16.27719,286.98694,0.99014,TARSOS_YIN
16.30041,286.30527,0.9939,TARSOS_YIN
16.32363,283.54028,0.99267,TARSOS_YIN
16.34685,276.93713,0.98554,TARSOS_YIN
16.37007,275.97293,0.99731,TARSOS_YIN
16.39329,269.86481,0.99628,TARSOS_YIN
16.41651,264.36914,0.99107,TARSOS_YIN
16.43973,255.0119,0.8975,TARSOS_YIN
16.46295,262.41089,0.94078,TARSOS_YIN
16.48617,251.63594,0.98558,TARSOS_YIN
16.50939,249.19415,0.98175,TARSOS_YIN
16.53261,248.11908,0.98631,TARSOS_YIN
16.55583,248.68871,0.98813,TARSOS_YIN
16.57905,249.62102,0.99121,TARSOS_YIN
16.60227,250.36093,0.99004,TARSOS_YIN
16.62549,249.36397,0.98996,TARSOS_YIN
16.64871,250.64558,0.98752,TARSOS_YIN
16.67193,250.23714,0.9846,TARSOS_YIN
16.69515,250.26514,0.98648,TARSOS_YIN
16.71837,248.00211,0.9584,TARSOS_YIN
16.74159,252.3228,0.98838,TARSOS_YIN
16.76481,257.80084,0.97876,TARSOS_YIN
16.78803,269.10583,0.98375,TARSOS_YIN
16.81125,265.85178,0.97348,TARSOS_YIN
16.83447,268.13342,0.95193,TARSOS_YIN
,387.41238,,
,248.00211,,
